Source,Translation,Context
Role Profile,Hồ sơ vai trò,
User Permission,Quyền người dùng,
Permission Manager,Quản lý phân quyền,
Audit Trail,Nhật ký kiểm toán,
Audit Log,Nhật ký kiểm toán,
Activity Log,Nhật ký hoạt động,
Error Log,Nhật ký lỗi,
Access Log,Nhật ký truy cập,
System Settings,Cài đặt hệ thống,
Global Defaults,Mặc định toàn hệ thống,
Format Options,Tùy chọn định dạng,
Date Format,Định dạng ngày,
Time Format,Định dạng giờ,
Number Format,Định dạng số,
Currency Format,Định dạng tiền tệ,
Time Zone,Múi giờ,
Float Precision,Độ chính xác số thập phân,
Backup,Sao lưu,
Restore,Khôi phục,
Migrate,Di chuyển,
Install,Cài đặt,
Uninstall,Gỡ cài đặt,
Reinstall,Cài lại,
Upgrade,Nâng cấp,
Downgrade,Hạ cấp,
Version Control,Quản lý phiên bản,
# ======================================================================
# Manufacturing - extended
# ======================================================================
Production,Sản xuất,
Work Center,Trung tâm làm việc,
Operator,Công nhân vận hành,
Operation Time,Thời gian công đoạn,
Cycle Time,Chu kỳ,
Setup Time,Thời gian chuẩn bị,
Run Time,Thời gian chạy,
Idle Time,Thời gian rảnh,
Downtime,Thời gian ngừng,
Utilization,Tỷ lệ sử dụng,
Capacity,Công suất,
Capacity Planning,Hoạch định công suất,
MRP,Hoạch định yêu cầu vật tư,
MPS,Hoạch định sản xuất tổng thể,
Scrap Rate,Tỷ lệ phế liệu,
Yield,Tỷ lệ thành phẩm,
Rework,Làm lại,
Reject,Từ chối,
Defect,Lỗi,
Defect Rate,Tỷ lệ lỗi,
Inspection,Kiểm tra,
Pass,Đạt,
Fail,Không đạt,
Good,Tốt,
Bad,Xấu,
Average Quality,Chất lượng trung bình,
Workstation Downtime,Thời gian dừng trạm,
# ======================================================================
# Assets - extended
# ======================================================================
Asset Name,Tên tài sản,
Asset Code,Mã tài sản,
Asset Type,Loại tài sản,
Serial Number,Số seri,
Purchase Cost,Nguyên giá,
Salvage Value,Giá trị thanh lý,
Current Value,Giá trị hiện tại,
Book Value,Giá trị sổ sách,
Market Value,Giá trị thị trường,
Depreciation Method,Phương pháp khấu hao,
Straight Line,Khấu hao đều,
Declining Balance,Khấu hao số dư giảm dần,
Double Declining,Khấu hao số dư giảm dần kép,
Manufacturing Asset,Tài sản sản xuất,
Office Equipment,Thiết bị văn phòng,
Vehicle,Phương tiện,
Building,Tòa nhà,
Land,Đất đai,
Software,Phần mềm,
Furniture,Nội thất,
# ======================================================================
# CRM - extended
# ======================================================================
Lead Name,Tên khách hàng tiềm năng,
Lead Status,Trạng thái khách hàng tiềm năng,
Lead Score,Điểm khách hàng tiềm năng,
New,Mới,
Contacted,Đã liên hệ,
Qualified,Đủ tiêu chuẩn,
Unqualified,Không đủ tiêu chuẩn,
Interested,Quan tâm,
Converted,Đã chuyển đổi,
Lost,Mất,
Won,Thắng,
Opportunity Stage,Giai đoạn cơ hội,
Prospecting,Thăm dò,
Qualification,Đánh giá,
Needs Analysis,Phân tích nhu cầu,
Proposal,Đề xuất,
Negotiation,Đàm phán,
Closed Won,Đã thắng,
Closed Lost,Đã thua,
Contact Type,Loại liên hệ,
Primary Contact,Liên hệ chính,
Secondary Contact,Liên hệ phụ,
# ======================================================================
# Support / Helpdesk
# ======================================================================
Ticket,Phiếu hỗ trợ,
Ticket Type,Loại phiếu,
Ticket Priority,Độ ưu tiên phiếu,
Issue,Vấn đề,
Issue Type,Loại vấn đề,
Issue Status,Trạng thái vấn đề,
SLA,Thỏa thuận mức dịch vụ,
Response Time,Thời gian phản hồi,
Resolution Time,Thời gian giải quyết,
First Response,Phản hồi lần đầu,
Customer Happiness,Mức độ hài lòng khách hàng,
Satisfaction,Mức độ hài lòng,
Resolved,Đã giải quyết,
Unresolved,Chưa giải quyết,
Escalated,Đã leo thang,
Knowledge Base,Cơ sở tri thức,
Article,Bài viết,
Solution,Giải pháp,
# ======================================================================
# Common UI extras
# ======================================================================
Dashboard Settings,Cài đặt bảng tổng quan,
Reports,Báo cáo,
Report Builder,Trình tạo báo cáo,
Query Report,Báo cáo truy vấn,
Script Report,Báo cáo kịch bản,
Print Preview,Xem trước in,
Print Format,Mẫu in,
Letter Head,Giấy tiêu đề,
Footer,Chân trang,
Watermark,Hình mờ,
Auto Print,In tự động,
Print Only Selected,Chỉ in mục đã chọn,
Export to Excel,Xuất sang Excel,
Export to CSV,Xuất sang CSV,
Export to PDF,Xuất sang PDF,
Email Template,Mẫu email,
Notification Settings,Cài đặt thông báo,
System Notification,Thông báo hệ thống,
Alert,Cảnh báo,
Mute,Tắt âm,
Unmute,Bật âm,
# ======================================================================
# Validations / Errors
# ======================================================================
Validation Error,Lỗi kiểm tra,
Required Field,Trường bắt buộc,
Duplicate Name,Tên bị trùng,
Invalid Value,Giá trị không hợp lệ,
Link Not Found,Không tìm thấy liên kết,
Permission Error,Lỗi phân quyền,
You do not have permission,Bạn không có quyền,
Cannot Delete,Không thể xóa,
Cannot Edit,Không thể sửa,
Cannot Submit,Không thể xác nhận,
Cannot Cancel,Không thể hủy,
Document is Submitted,Tài liệu đã được xác nhận,
Document is Cancelled,Tài liệu đã bị hủy,
Future Date Not Allowed,Không cho phép ngày trong tương lai,
Past Date Not Allowed,Không cho phép ngày trong quá khứ,
Date Must Be After,Ngày phải sau,
Date Must Be Before,Ngày phải trước,
Amount Must Be Positive,Số tiền phải dương,
Quantity Must Be Positive,Số lượng phải dương,
Maximum Limit Reached,Đã đạt giới hạn tối đa,
Insufficient Stock,Thiếu hàng tồn kho,
Negative Balance,Số dư âm,
Out of Stock,Hết hàng,
Low Stock,Sắp hết hàng,
Over Delivery,Giao vượt,
Over Billing,Lập HĐ vượt,
# ======================================================================
# Quality / Other
# ======================================================================
Quality Goal,Mục tiêu chất lượng,
Quality Review,Đánh giá chất lượng,
Quality Procedure,Quy trình chất lượng,
Quality Meeting,Cuộc họp chất lượng,
Quality Feedback,Phản hồi chất lượng,
Non Conformance,Không phù hợp,
Corrective Action,Hành động khắc phục,
Preventive Action,Hành động phòng ngừa,
Audit,Kiểm toán,
Compliance,Tuân thủ,
# ======================================================================
# Misc common
# ======================================================================
Unknown,Không rõ,
N/A,Không áp dụng,
None,Không có,
Default,Mặc định,
Custom,Tùy chỉnh,
Standard,Chuẩn,
Template,Mẫu,
Sample,Mẫu,
Example,Ví dụ,
Draft Mode,Chế độ nháp,
Preview Mode,Chế độ xem trước,
Edit Mode,Chế độ chỉnh sửa,
View Mode,Chế độ xem,
Dark Mode,Chế độ tối,
Light Mode,Chế độ sáng,
Auto Mode,Chế độ tự động,
Manual Mode,Chế độ thủ công,
Public,Công khai,
Private,Riêng tư,
Internal,Nội bộ,
External,Bên ngoài,
Included,Đã bao gồm,
Excluded,Đã loại trừ,
Primary,Chính,
Secondary,Phụ,
Additional,Bổ sung,
Optional Field,Trường tùy chọn,
Mandatory Field,Trường bắt buộc,
Read Only,Chỉ đọc,
Read Write,Đọc ghi,
No Access,Không có quyền truy cập,
Details Page,Trang chi tiết,
List View,Xem danh sách,
Tree View,Xem dạng cây,
Report View,Xem báo cáo,
Dashboard View,Xem tổng quan,
Form View,Xem biểu mẫu,
Card View,Xem dạng thẻ,
Calendar View,Xem dạng lịch,
Timeline View,Xem dạng dòng thời gian,
Gantt View,Xem dạng Gantt,
Kanban View,Xem dạng Kanban,
Map View,Xem dạng bản đồ,
# ======================================================================
# E-Invoicing specific VN
# ======================================================================
Invoice Template,Mẫu hóa đơn,
Invoice Series,Ký hiệu hóa đơn,
Invoice Issuing,Phát hành hóa đơn,
Invoice Cancellation,Hủy hóa đơn,
Invoice Replacement,Thay thế hóa đơn,
Invoice Adjustment,Điều chỉnh hóa đơn,
Digital Signature,Chữ ký số,
Certificate,Chứng thư số,
Tax Verification,Xác thực thuế,
Provider,Nhà cung cấp,
Sandbox,Thử nghiệm,
Production,Chính thức,
API Key,Khóa API,
API Secret,Bí mật API,
Token,Token,
Authentication,Xác thực,
Authorization,Phân quyền,
# ======================================================================
# Login / Authentication
# ======================================================================
Login,Đăng nhập,
Logout,Đăng xuất,
Sign In,Đăng nhập,
Sign Out,Đăng xuất,
Sign Up,Đăng ký,
Register,Đăng ký,
Username,Tên đăng nhập,
Password,Mật khẩu,
Confirm Password,Xác nhận mật khẩu,
Old Password,Mật khẩu cũ,
New Password,Mật khẩu mới,
Forgot Password,Quên mật khẩu,
Reset Password,Đặt lại mật khẩu,
Change Password,Đổi mật khẩu,
Remember Me,Ghi nhớ tôi,
Stay Signed In,Duy trì đăng nhập,
Two-Factor Authentication,Xác thực hai lớp,
OTP,Mã OTP,
Verification Code,Mã xác minh,
Account,Tài khoản,
My Account,Tài khoản của tôi,
Profile,Hồ sơ,
My Profile,Hồ sơ của tôi,
Update Profile,Cập nhật hồ sơ,
Preferences,Tùy chọn,
Account Settings,Cài đặt tài khoản,
Security,Bảo mật,
API Access,Truy cập API,
Session,Phiên làm việc,
Login History,Lịch sử đăng nhập,
Last Login,Lần đăng nhập cuối,
Password Expired,Mật khẩu đã hết hạn,
Account Locked,Tài khoản bị khóa,
Welcome Back,Chào mừng trở lại,
# ======================================================================
# Dashboard elements
# ======================================================================
Dashboard Chart,Biểu đồ tổng quan,
Number Card,Thẻ số liệu,
Workspace,Không gian làm việc,
Card,Thẻ,
Tile,Ô,
Widget,Widget,
Chart,Biểu đồ,
Line Chart,Biểu đồ đường,
Bar Chart,Biểu đồ cột,
Pie Chart,Biểu đồ tròn,
Donut Chart,Biểu đồ vòng,
Area Chart,Biểu đồ vùng,
Percentage,Phần trăm,
Progress Bar,Thanh tiến độ,
Heatmap,Bản đồ nhiệt,
Shortcut,Lối tắt,
Quick Access,Truy cập nhanh,
Recent,Gần đây,
Favorites,Yêu thích,
Pinned,Đã ghim,
Pin,Ghim,
Unpin,Bỏ ghim,
Sticky,Cố định,
Trending,Xu hướng,
Top Performers,Hàng đầu,
Highlights,Điểm nổi bật,
Key Metrics,Chỉ số chính,
KPI Dashboard,Tổng quan KPI,
Goal Progress,Tiến độ mục tiêu,
# ======================================================================
# Document workflow
# ======================================================================
Workflow State,Trạng thái quy trình,
Workflow Action,Hành động quy trình,
Workflow Transition,Chuyển trạng thái,
Next State,Trạng thái tiếp theo,
Previous State,Trạng thái trước,
Allow Edit,Cho phép chỉnh sửa,
Send For Approval,Gửi phê duyệt,
Pending Approval,Chờ phê duyệt,
Sent For Approval,Đã gửi phê duyệt,
Under Review,Đang xem xét,
Reviewed,Đã xem xét,
Resubmit,Gửi lại,
Revise,Sửa đổi,
Revision Required,Cần sửa đổi,
Change Request,Yêu cầu thay đổi,
Version History,Lịch sử phiên bản,
Latest Version,Phiên bản mới nhất,
Draft Version,Bản nháp,
Published Version,Bản đã phát hành,
# ======================================================================
# More Accounting
# ======================================================================
Payment Received,Đã nhận thanh toán,
Payment Made,Đã thanh toán,
Internal Transfer,Chuyển khoản nội bộ,
Pay,Thanh toán,
Receive,Nhận,
Settle,Đối trừ,
Settled,Đã đối trừ,
Unsettled,Chưa đối trừ,
On Account,Ghi nợ/có,
Partial Payment,Thanh toán một phần,
Full Payment,Thanh toán toàn bộ,
Overpaid,Thanh toán dư,
Underpaid,Thanh toán thiếu,
Payment Status,Trạng thái thanh toán,
Gross Amount,Số tiền gộp,
Net Amount,Số tiền thực,
Paid Off,Đã trả hết,
Carry Forward,Chuyển sang kỳ sau,
Closing Entry,Bút toán kết chuyển,
Opening,Khai báo,
Closing,Kết chuyển,
Accrued,Đã dồn tích,
Unbilled,Chưa lập HĐ,
Billed,Đã lập HĐ,
Unreconciled,Chưa đối chiếu,
Reconciled,Đã đối chiếu,
Matching,Đối chiếu,
Matched,Đã đối chiếu,
Unmatched,Chưa đối chiếu,
Mismatch,Không khớp,
Cost,Chi phí,
Margin,Lợi nhuận,
Markup,Chênh lệch,
Profit Margin,Biên lợi nhuận,
# ======================================================================
# More HR specifics
# ======================================================================
Employee Checkin,Điểm danh nhân viên,
Time Off,Nghỉ phép,
Leave Balance,Số ngày phép còn,
Leave Calendar,Lịch nghỉ phép,
Apply Leave,Xin nghỉ phép,
Leave Approved,Nghỉ phép đã duyệt,
Leave Rejected,Nghỉ phép bị từ chối,
Sick Days,Ngày nghỉ ốm,
Maternity,Thai sản,
Paternity,Nghỉ chăm con,
Bereavement,Tang sự,
Wedding,Cưới hỏi,
Personal Day,Ngày nghỉ cá nhân,
Emergency Leave,Nghỉ khẩn cấp,
Absence,Vắng mặt,
Present,Có mặt,
Absent,Vắng mặt,
Half Day,Nửa ngày,
Late,Đi muộn,
Early Leave,Về sớm,
On Duty,Đang làm việc,
Off Duty,Không làm việc,
Hours Worked,Số giờ làm việc,
Total Hours,Tổng số giờ,
Effective From,Có hiệu lực từ,
Valid From,Hiệu lực từ,
Valid To,Hiệu lực đến,
Probation End,Kết thúc thử việc,
Employee Onboarding,Nhập công nhân viên,
Offboarding,Rời công ty,
Exit Interview,Phỏng vấn thôi việc,
Exit Date,Ngày nghỉ việc,
Separation Date,Ngày chấm dứt HĐLĐ,
Years of Service,Thâm niên,
Seniority,Thâm niên,
Total Experience,Tổng kinh nghiệm,
Skills,Kỹ năng,
Qualifications,Trình độ,
Education,Học vấn,
Work Experience,Kinh nghiệm làm việc,
Previous Employer,Chủ cũ,
Position,Vị trí,
Job Description,Mô tả công việc,
Job Title,Chức danh,
Responsibility,Trách nhiệm,
Report To,Báo cáo cho,
Supervisor,Người giám sát,
Manager,Quản lý,
Team Lead,Trưởng nhóm,
Team,Đội,
Teams,Các đội,
# ======================================================================
# Warehouse / Inventory detailed
# ======================================================================
Warehouse Name,Tên kho,
Warehouse Code,Mã kho,
Aisle,Dãy kệ,
Shelf,Kệ,
Bin,Ngăn,
Zone,Khu vực,
Location Code,Mã vị trí,
Put Away,Nhập kệ,
Pick,Lấy hàng,
Pack,Đóng gói,
Ship,Giao hàng,
Shipment,Lô hàng,
Shipping,Vận chuyển,
Carrier,Đơn vị vận chuyển,
Tracking,Theo dõi,
Tracking Number,Mã vận đơn,
Tracking Status,Trạng thái vận chuyển,
In Transit,Đang vận chuyển,
Delivered to Customer,Đã giao cho khách,
Delivery Attempt,Lần giao thử,
Failed Delivery,Giao thất bại,
Stock On Hand,Tồn kho thực tế,
Stock On Order,Hàng đặt mua,
Committed Stock,Hàng đã đặt bán,
Available Stock,Hàng có thể bán,
Reserved Qty,Số lượng đã đặt,
Ordered Qty,Số lượng đã đặt mua,
Projected Qty,Số lượng dự kiến,
Shortage,Thiếu hàng,
Over Stock,Dư hàng,
Dead Stock,Hàng tồn lâu,
Cycle Count,Kiểm kê định kỳ,
Physical Count,Kiểm kê thực tế,
Audit Count,Kiểm kê đột xuất,
Variance,Chênh lệch,
Adjustment,Điều chỉnh,
Stock Adjustment,Điều chỉnh tồn kho,
Qty Difference,Chênh lệch số lượng,
Value Difference,Chênh lệch giá trị,
Barcode,Mã vạch,
QR Code,Mã QR,
# ======================================================================
# Purchase lifecycle
# ======================================================================
Material Requirement,Yêu cầu vật tư,
Purchase Request,Đề nghị mua hàng,
Supplier Selection,Chọn nhà cung cấp,
Vendor,Nhà cung cấp,
Vendor Assessment,Đánh giá NCC,
RFQ Response,Phản hồi YCBG,
PO Confirmation,Xác nhận đơn mua,
Goods Receipt,Phiếu nhận hàng,
Three Way Match,Đối chiếu ba chiều,
Invoice Matching,Đối chiếu hóa đơn,
Vendor Invoice,Hóa đơn NCC,
# ======================================================================
# Sales lifecycle
# ======================================================================
Lead to Cash,Từ tiếp cận tới thu tiền,
Order to Cash,Từ đơn hàng tới thu tiền,
Customer Onboarding,Tiếp nhận khách hàng,
Sales Pipeline,Đường ống bán hàng,
Pipeline,Đường ống,
Forecast,Dự báo,
Sales Forecast,Dự báo doanh số,
Achievement,Thành tích,
Quota,Hạn ngạch,
Target,Mục tiêu,
Actual,Thực tế,
# ======================================================================
# Item / Product detail
# ======================================================================
Item Details,Chi tiết hàng hóa,
Item Description,Mô tả hàng hóa,
Item Image,Hình ảnh hàng hóa,
Product,Sản phẩm,
Products,Sản phẩm,
Product Group,Nhóm sản phẩm,
Product Category,Danh mục sản phẩm,
SKU,Mã SKU,
Weight,Trọng lượng,
Weight UOM,Đơn vị trọng lượng,
Dimensions,Kích thước,
Length,Chiều dài,
Width,Chiều rộng,
Height,Chiều cao,
Volume,Thể tích,
Net Weight,Trọng lượng tịnh,
Gross Weight,Trọng lượng cả bì,
Hazardous,Nguy hiểm,
Perishable,Dễ hư hỏng,
Fragile,Dễ vỡ,
Storage Temperature,Nhiệt độ bảo quản,
Supplier Item Code,Mã hàng NCC,
Customer Item Code,Mã hàng KH,
Manufacturer,Nhà sản xuất,
Manufacturer Part Number,Số phụ tùng NSX,
Country of Origin,Nước xuất xứ,
HS Code,Mã HS,
Tariff Number,Mã thuế,
# ======================================================================
# Payment detail
# ======================================================================
Payment Method,Phương thức thanh toán,
Cash Payment,Thanh toán tiền mặt,
Bank Transfer,Chuyển khoản ngân hàng,
Credit Card,Thẻ tín dụng,
Debit Card,Thẻ ghi nợ,
Online Payment,Thanh toán trực tuyến,
Mobile Payment,Thanh toán di động,
QR Payment,Thanh toán QR,
Wallet,Ví,
E-Wallet,Ví điện tử,
Momo,Ví Momo,
VNPay,VNPay,
ZaloPay,ZaloPay,
VietQR,VietQR,
Napas,Napas,
Installment,Trả góp,
Cash on Delivery,Thanh toán khi nhận hàng,
COD,COD,
Prepayment,Thanh toán trước,
Deposit Payment,Thanh toán đặt cọc,
Balance Payment,Thanh toán phần còn lại,
Final Payment,Thanh toán cuối cùng,
Processing Fee,Phí xử lý,
Transaction Fee,Phí giao dịch,
# ======================================================================
# Communication
# ======================================================================
Message,Tin nhắn,
Messages,Tin nhắn,
Inbox,Hộp thư đến,
Outbox,Hộp thư đi,
Sent,Đã gửi,
Drafts,Bản nháp,
Trash,Thùng rác,
Spam,Thư rác,
Archive,Lưu trữ,
Starred,Đã gắn sao,
Read,Đã đọc,
Unread,Chưa đọc,
Mark as Read,Đánh dấu đã đọc,
Mark as Unread,Đánh dấu chưa đọc,
Conversation,Cuộc trò chuyện,
Thread,Chuỗi tin nhắn,
Reply to,Trả lời,
Reply Above,Trả lời bên trên,
Mention,Nhắc đến,
Mentioned You,Đã nhắc đến bạn,
# ======================================================================
# Frappe framework common strings
# ======================================================================
Desk,Bàn làm việc,
Modules,Các module,
Module,Module,
App,Ứng dụng,
Apps,Ứng dụng,
Site,Trang,
Awesome Bar,Thanh tìm kiếm nhanh,
Search or Command,Tìm kiếm hoặc lệnh,
Recent Activity,Hoạt động gần đây,
Help,Trợ giúp,
Help Menu,Trợ giúp,
Documentation,Tài liệu,
Keyboard Shortcuts,Phím tắt,
About,Giới thiệu,
Issue Tracker,Theo dõi sự cố,
Sidebar,Thanh bên,
Toggle Sidebar,Ẩn/hiện thanh bên,
Show Sidebar,Hiện thanh bên,
Hide Sidebar,Ẩn thanh bên,
Menu Bar,Thanh menu,
Command Bar,Thanh lệnh,
Quick Entry,Nhập nhanh,
Save and Continue,Lưu và tiếp tục,
Save and New,Lưu và tạo mới,
Save Draft,Lưu nháp,
Auto Save,Lưu tự động,
Autosave,Lưu tự động,
Undo,Hoàn tác,
Redo,Làm lại,
Copy Link,Sao chép liên kết,
Copy URL,Sao chép URL,
Open in New Tab,Mở tab mới,
Toggle,Bật/tắt,
Switch,Chuyển đổi,
Flip,Lật,
Swap,Hoán đổi,
Reorder,Sắp xếp lại,
Drag and Drop,Kéo và thả,
# ======================================================================
# Data / Import / Export
# ======================================================================
Import Data,Nhập dữ liệu,
Export Data,Xuất dữ liệu,
Data Import,Nhập dữ liệu,
Data Export,Xuất dữ liệu,
Download Template,Tải mẫu,
Upload Template,Tải lên mẫu,
Map Fields,Ánh xạ trường,
Preview Data,Xem trước dữ liệu,
Start Import,Bắt đầu nhập,
Import Status,Trạng thái nhập,
Import Log,Nhật ký nhập,
Imported,Đã nhập,
Skipped,Đã bỏ qua,
Failed,Thất bại,
Partial,Một phần,
Errors,Lỗi,
Warnings,Cảnh báo,
Preview Results,Xem trước kết quả,
Bulk Edit,Chỉnh sửa hàng loạt,
Bulk Update,Cập nhật hàng loạt,
Bulk Delete,Xóa hàng loạt,
Bulk Action,Thao tác hàng loạt,
Select Rows,Chọn dòng,
Selected Rows,Dòng đã chọn,
All Rows,Tất cả dòng,
Current Page,Trang hiện tại,
# ======================================================================
# Pagination / Navigation
# ======================================================================
Page,Trang,
Pages,Trang,
of,của,
Rows,Dòng,
Columns,Cột,
Cells,Ô,
Showing,Đang hiển thị,
Results per Page,Kết quả mỗi trang,
Total Records,Tổng số bản ghi,
No More Records,Không còn bản ghi,
Load More,Tải thêm,
View All,Xem tất cả,
Go to Page,Đi đến trang,
First Page,Trang đầu,
Last Page,Trang cuối,
Previous Page,Trang trước,
Next Page,Trang sau,
# ======================================================================
# Time & scheduling
# ======================================================================
Schedule,Lịch,
Scheduler,Bộ lập lịch,
Scheduled,Đã lập lịch,
Scheduled Job,Công việc định kỳ,
Scheduled Task,Tác vụ định kỳ,
Cron,Cron,
Cron Expression,Biểu thức Cron,
Run Now,Chạy ngay,
Run at,Chạy lúc,
Never,Không bao giờ,
Every,Mỗi,
Every Hour,Mỗi giờ,
Every Day,Mỗi ngày,
Every Week,Mỗi tuần,
Every Month,Mỗi tháng,
Every Year,Mỗi năm,
Repeat,Lặp lại,
Recurring,Định kỳ,
Automatic,Tự động,
Manual,Thủ công,
Event,Sự kiện,
Events,Sự kiện,
Calendar Event,Sự kiện lịch,
Reminder,Nhắc nhở,
Reminders,Nhắc nhở,
Alert Time,Thời gian cảnh báo,
Due,Đến hạn,
Due In,Còn lại,
Remaining,Còn lại,
Expiration,Hết hạn,
Extend,Gia hạn,
Extend Until,Gia hạn đến,
# ======================================================================
# Files / Attachments
# ======================================================================
Files,Tệp,
Folder,Thư mục,
Folders,Thư mục,
Root Folder,Thư mục gốc,
Home Folder,Thư mục chính,
My Files,Tệp của tôi,
Shared Files,Tệp chia sẻ,
Recent Files,Tệp gần đây,
Upload,Tải lên,
Uploading,Đang tải lên,
Uploaded,Đã tải lên,
Upload Failed,Tải lên thất bại,
File Manager,Trình quản lý tệp,
Storage,Bộ nhớ,
Storage Used,Đã sử dụng,
Storage Available,Còn lại,
# ======================================================================
# Email / Communication specific
# ======================================================================
Email Account,Tài khoản email,
Email Domain,Tên miền email,
SMTP,SMTP,
IMAP,IMAP,
POP3,POP3,
Incoming Email,Email đến,
Outgoing Email,Email đi,
Auto Email,Email tự động,
Scheduled Email,Email định kỳ,
Email Subject,Tiêu đề email,
Email Body,Nội dung email,
CC,Đồng gửi,
BCC,Gửi ẩn,
Attach File,Đính kèm tệp,
Add Signature,Thêm chữ ký,
Send Email,Gửi email,
Email Sent,Email đã gửi,
Email Queue,Hàng đợi email,
Failed Emails,Email thất bại,
Email Group,Nhóm email,
Newsletter,Bản tin,
Newsletter Subscription,Đăng ký nhận bản tin,
Unsubscribe,Hủy đăng ký,
Subscribed,Đã đăng ký,
Unsubscribed,Đã hủy đăng ký,
# ======================================================================
# Report Builder
# ======================================================================
Add Filter,Thêm bộ lọc,
Remove Filter,Xóa bộ lọc,
Column,Cột,
Add Column,Thêm cột,
Remove Column,Xóa cột,
Reorder Columns,Sắp xếp lại cột,
Hide Column,Ẩn cột,
Show Column,Hiện cột,
Pivot Table,Bảng xoay,
Summary Row,Dòng tổng,
Totals Row,Dòng tổng cộng,
Grand Total Row,Dòng tổng chung,
Chart Type,Kiểu biểu đồ,
X Axis,Trục X,
Y Axis,Trục Y,
Data Source,Nguồn dữ liệu,
Aggregation,Gộp nhóm,
Group Total,Tổng nhóm,
Subtotal,Tổng phụ,
Running Total,Tổng cộng dồn,
Cumulative,Cộng dồn,
Filter Value,Giá trị lọc,
Operator,Toán tử,
Equal,Bằng,
Not Equal,Khác,
Greater Than,Lớn hơn,
Less Than,Nhỏ hơn,
Greater or Equal,Lớn hơn hoặc bằng,
Less or Equal,Nhỏ hơn hoặc bằng,
Between,Giữa,
Not Between,Không giữa,
In,Trong,
Not In,Không trong,
Contains,Chứa,
Does Not Contain,Không chứa,
Starts With,Bắt đầu với,
Ends With,Kết thúc với,
Is Empty,Trống,
Is Not Empty,Không trống,
Is Set,Đã đặt,
Is Not Set,Chưa đặt,
# ======================================================================
# Colors & Indicators
# ======================================================================
Red,Đỏ,
Orange,Cam,
Yellow,Vàng,
Green,Xanh lá,
Blue,Xanh dương,
Pink,Hồng,
Purple,Tím,
Grey,Xám,
Black,Đen,
White,Trắng,
Success Color,Màu thành công,
Error Color,Màu lỗi,
Warning Color,Màu cảnh báo,
Info Color,Màu thông tin,
Badge,Nhãn,
Tag,Thẻ,
Tags,Thẻ,
Add Tag,Thêm thẻ,
Remove Tag,Xóa thẻ,
# ======================================================================
# Misc additional
# ======================================================================
Enable,Bật,
Disable,Tắt,
Turn On,Bật,
Turn Off,Tắt,
Activate,Kích hoạt,
Deactivate,Hủy kích hoạt,
Archive Record,Lưu trữ bản ghi,
Restore Record,Khôi phục bản ghi,
Archived,Đã lưu trữ,
Unarchived,Đã khôi phục,
Lock,Khóa,
Unlock,Mở khóa,
Locked,Đã khóa,
Unlocked,Đã mở khóa,
Freeze,Đóng băng,
Unfreeze,Bỏ đóng băng,
Frozen,Đã đóng băng,
Merge,Gộp,
Split,Tách,
Unmerge,Bỏ gộp,
Clone,Nhân bản,
Cloned,Đã nhân bản,
Backup Now,Sao lưu ngay,
Restore from Backup,Khôi phục từ bản sao lưu,
Audit Report,Báo cáo kiểm toán,
History,Lịch sử,
Activity History,Lịch sử hoạt động,
Change History,Lịch sử thay đổi,
Version History,Lịch sử phiên bản,
Revision History,Lịch sử bản sửa đổi,
Chronological,Theo thứ tự thời gian,
# ======================================================================
# Statuses detailed
# ======================================================================
Open Tasks,Công việc đang mở,
Closed Tasks,Công việc đã đóng,
Overdue Tasks,Công việc quá hạn,
Completed Tasks,Công việc hoàn thành,
Upcoming,Sắp tới,
Recent,Gần đây,
Archived Items,Mục đã lưu trữ,
Deleted Items,Mục đã xóa,
Modified Items,Mục đã sửa,
Created Items,Mục đã tạo,
Shared Items,Mục đã chia sẻ,
Pending Items,Mục chờ xử lý,
Pending Tasks,Công việc chờ,
Pending Approvals,Chờ phê duyệt,
Pending Invoices,Hóa đơn chờ,
Pending Orders,Đơn hàng chờ,
Pending Payments,Thanh toán chờ,
Recent Orders,Đơn hàng gần đây,
Recent Invoices,Hóa đơn gần đây,
Recent Payments,Thanh toán gần đây,
Recent Customers,Khách hàng gần đây,
Top Customers,Khách hàng hàng đầu,
Top Products,Sản phẩm hàng đầu,
Top Suppliers,NCC hàng đầu,
Best Selling,Bán chạy nhất,
Worst Selling,Bán chậm nhất,
Fast Moving,Xoay vòng nhanh,
Slow Moving,Xoay vòng chậm,
High Value,Giá trị cao,
Low Value,Giá trị thấp,
Average Value,Giá trị trung bình,
